Movie Title,Ratinng,genre,act,Plot
3 Idiots,8.4,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Olivier Lafont, Rahul Kumar, Parikshit Sahni, Farida Dadi, Amardeep Jha, Mukund Bhatt, Chaitali Bose, Jaaved Jaaferi, Jayant Kripalani, Arun Bali, Shoaib Ahmed","papadum, hairy chest, against the system, coming of age, college, flatulence, optimism, motivation, muslim, suicide, suicide attempt, bollywood, slapstick comedy, india, coma, reference to neil armstrong, boy wears eyeglasses, girl wears eyeglasses, black comedy, trimming mustache, simla india, character repeats someone else's dialogue, male underwear, male male relationship, male friendship, friend, student, engineering, bare chested male, writing with both hands, subjective camera, character's point of view camera shot, slow motion scene, urination, fast motion scene, dream, best friend, following a dream, wildlife photography, wedding crasher, webcam, velcro, vacuum cleaner, stolen identity, search, science project, satire, rubik's cube, rivalry, reference to hippocrates, quest, prank, power failure, power cut, paralysis, optimist, nri, morality, mistaken identity, middle class family, male bonding, love at first sight, loss of brother, local blockbuster, lisp, kiss, journey, imagery, genius, freeze frame, flashback within a flashback, first love, father daughter relationship, fake heart attack, emergency landing, embarrassment, electricity failure, drunkenness, dilemma, convocation, childbirth, catch phrase, buddy, bhagavad gita, based on bestseller, professor, friendship, classroom, wedding, three friends, suicide by hanging, shaving, sexual innuendo, scooter, paralyzed person, lecture, ladakh, flashback, engineering school, drinking, college life, black and white scene, assumed identity, ashes, rebelliousness, anti conformity, social commentary, parody, expose, education, based on novel, plot twist"
Taare Zameen Par,8.3,"Drama, Family","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Sachet Engineer, Tanay Chheda, Lalitha Lajmi, Girija Oak, Ravi Khanvilkar, Pratima Kulkarni, Meghna Malik, Sonali Sachdev, Sanjay Dadhich, Rajgopal Iyer, Bugs Bhargava Krishna, Shankar Sachdev, M.K. Raina, Gurkirtan","teacher student relationship, dyslexia, against the odds, paint, water, frustration, child, papadum, india, staring at water, vivid imagination, parental discipline, hope, dream, despair, intolerance, special education, hyperactive child, child abuse, neglected child, action figure, sitting on a toilet, diaper change, analysis, fishbowl, flutist, internet research, defeat, piggyback ride, misspelling, model, portrait, portrait comes to life, gift, book, reading, principal, gibberish, storytelling, watercolor, makeup, hug, cartoon dragon, costume, cricket the sport, finding one's voice, fireworks, laughter, making a face, punching a pillow, pounding a table, reading aloud, tearing up a notebook, puddle, painting, cartoon moon, cartoon man, overhead camera shot, indian, quarrel between parent and child, grade, grading exams, mathematics, arithmetic, grading students, dirty water, reed, tadpole, admonishing child, gate, broken gate, shorts, dog barking, playing with dog, bucktooth, pouch, refrigerator, kitchen, bedroom, playing outdoors, blood, bleeding, bleeding from mouth, bloody forehead, string, housewife, suit and tie, stretching, boy wears a necktie, breakfast, making breakfast, business trip, cracking an egg, toast, toaster, toasting bread, finger in the nose, tying one's shoelaces, water puddle, doorman, detention, yawn, out of sync, play acting, single file, licking the wall, corridor, stairs, stairwell, cotton candy, coming downstairs, candy, vendor, street vendor, town square, taxi, zebra crossing, shaved ice, walking home, sari, excavation, public transportation, bucket, bridge, pedestrian bridge, public transit, supervision, forgetful, forgetfulness, distraction, distracted, playground, drawing on a wall, older brother, spaceship, laptop computer, notebook computer, school supervision, parental control, catnap, making faces, embrace, naughty, naughtiness, magazine, reading a magazine, exposed, globe, glaring, meeting parent, lonliness, unfamiliar situation, marching band, drum, drummer, bench, disciplinarian, toyota, toyota van, pajamas, resting one's head on someone's shoulder, 360 degree well camera shot, parent teacher meeting, misbehavior, boy sleeps in his mother's arms, boy wears pajamas, boy wears shorts, man wears a suit, man wears a suit and tie, mockery, nose picking, boy, intellectually disabled child, intellectually disabled, intellectually disabled boy, boarding school, joy, temporary teacher, friend, report card, optimism, new school, kite, fish, homework, compassion, dog, autistic son, autistic child, autism, motivational, drawing, cartoon, tying shoelaces, cartoon hummingbird, reference to mickey mouse, mutism, illiteracy, stick, splashing water, flowerpot, anguish, suffering, mental abuse, torture, waving goodbye, praying hands, bowing, reference to the pied piper, school yearbook, headmaster, comic relief, reference to verdi, eyeglasses, mentor protege relationship, guru, caricature drawing, amphitheatre, musician, bunk bed, combing one's hair, reference to the solomon islands, internet, poster, painting competition, reference to vincent van gogh, playing a video game, pencil, clay, tutor, oral exam, reference to oscar wilde, law, knocking on a door, goldfish, photograph, toy flying boat, cheering, pond, misfit, reference to agatha christie, reference to neil diamond, reference to walt disney, reference to pablo picasso, humming, reference to abhishek bachchan, reference to thomas alva edison, helicopter, reference to leonardo da vinci, reference to the nobel prize, reference to albert einstein, inability to write, snail, home movie, gardening, prejudice, neurological disorder, neurology, low self esteem, self confidence, alphabet, toy castle, baby, wiping a tear away, school theatre performance, depression, kneeling, success, faculty lounge, telephone call, telephone, whistling, fake red nose, crossed eyes, fake pointy ears, fake mustache, dancing, dancer, singing, singer, applause, flute, replacement teacher, reference to new zealand, falling to the ground, sadness, basketball, tennis, tennis court, basketball court, cartoon snake, teasing, apparition, throwing away one's backpack, scraping fingernails on a blackboard, grammar, hit with a ruler, blackboard, hit on the head, throwing a piece of chalk at someone, sketchbook, bird, estate manager, art class, leg brace, crutches, looking at oneself in a mirror, mirror, dining hall, housemaster, dressing, crying woman, reference to toyota, discipline, marching, firecracker, train station, festival, diwali, calling someone a brat, calling someone an idiot, aquarium, strawberry, newspaper, cartoon solar system, surprise math test, fake cough, sleeping on a bus, being followed, following someone, pretending to fly, pigeon, flavored ice on a stick, painter, scaffolding, street market, street life, hanging one's head in shame, school bell, name calling, calling someone a loser, walking backwards, burping, leaning against a wall, playing with one's ears, mother kisses son, kiss, combing someone's hair, cartoon train, brushing teeth, hit on the butt, toy, waking up, cooking, husband wife relationship, ironing, shaving, alarm clock, boy wrapped in a towel, apology, shower, facial bruise, lie, stairway, running up stairs, rooftop, anger, fight, bullying, school uniform, jigsaw puzzle, washing hands, running, playing fetch with a dog, cartoon shellfish, cartoon dolphin, cartoon kite, cartoon swan, cartoon rocket, cartoon seahorse, cartoon rabbit, cartoon worm, cartoon frog, cartoon peacock, prologue, bus, fishing net, failure, lifting a boy into the air, lifting someone into the air, panchgani india, brother brother relationship, father son relationship, mother son relationship, mumbai india, unhappiness, friendship, playing hooky, flip book, subjective camera, domineering father, conservative, pedagogy, moral courage, boys' school, separation from family, solitude, shyness, introvert, bicycle, visual metaphor, poetry, impressionism, finger painting, expressionist, expressionism, estrangement, imitation, skipping school, stop motion scene, montage, child's drawing, curiosity, childhood innocence, reference to google, child protagonist, child's point of view, loneliness, creativity, rubik's cube, social commentary, claymation, freeze frame, animated sequence, directorial debut, underdog, train, song, face slap, school bus, scene during end credits, restlessness, prize, principal's office, overachiever, nightmare, model airplane, learning disability, imagination, homesickness, head injury, fighting, dormitory, documentary footage, directed by star, competition, classroom, bully, animated title sequence, earphones, man puts hand on boy's shoulder, double decker bus, climbing scaffolding, fear, blowing bubbles into a glass, doorbell, cartoon elephant, cartoon starfish, cartoon ladybug, cartoon turtle, cartoon octopus, cartoon whale, cartoon fish, toilet stool, free thinking, longing, happiness, wandering, drain"
PK,8.1,"Comedy, Drama, Sci-Fi","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani, Rajinder Sharma Nanu, Sushant Singh Rajput, Sai Gundewar, Ram Sethi, Ignace De Groote, Donder In t' Hooi, Plabita Borthakur, Amardeep Jha, Parikshit Sahni, Saurabh Shukla, Tia Sharma, Sanjiv Kishinchandani, Sachin Parikh, Shaji Chaudhary","guru, religion, tv reporter, alien on earth, papadum, muslim, hindu, indian, donation bin, spaceship, jilted at the altar, theft, sex in a car, india, wrong number, religious faith, unspoken love, letter in title, indian abroad, hinduism, laptop computer, purse, crash helmet, helmet, sticker, reporter, train station, chance meeting, medallion, boom box, radio, listening to a radio, breakup, letter, church, voice over letter, kitten, puppy, wedding dress, voice over narration, male alien, humanoid alien, alien contact, alien starship, railroad track, turban, train, canal, ticket scalper, sandals, bicycle lock, arrest, scooter, police station, motor scooter, two on a motor scooter, urination, public urination, bribe, homelessness, cell, fat man, hit by a truck, reference to mahatma gandhi, vegetable, bank note, holding hands, musical number, dancing, marriage proposal, missing person flyer, idol, written by director, necklace, policeman, nickname, telephone call, apartment, student, condom, prank, crow, sleeping on a couch, temple, statuette, webcam, internet chat, comedy of errors, misunderstanding, tv station, tv news, mosque, restaurant, ice cream, bicycle, tv interview, mind reading, father daughter relationship, superstition, lore, cult, nudity, self injury, new delhi india, belgium, bruges belgium, alien, remote control, love, research, love triangle, thief, godman, telepathy, prostitute, brothel, heartbreak, interfaith romance, blockbuster, tape recorder, male nudity, journalist, fish out of water, desert, satire, asian indian"
Dangal,8.3,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritvik Sahore, Girish Kulkarni, Ravi Aneja, Anurag Arora, Mahesh Balraj, Vivan Bhatena, Anmol Charan, Karamveer Choudhary, Ishika Gagneja, Badrul Islam, Jagbir","small town, father daughter relationship, male objectification, bare chested male, female protagonist, sister sister relationship, female bonding, inspirational, athlete, friendship between women, uncle nephew relationship, cousin cousin relationship, asian woman, asian man, foodie, bollywood, asian family, female friendship, india, female wrestler, timeframe 1990s, timeframe 2000s, commonwealth games, wrestling, female empowerment, physical training, mother daughter relationship, coach, olympic games, based on true story, title spoken by character, 2000s, 1990s"
Rang De Basanti,8.1,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi, Kunal Kapoor, Atul Kulkarni, Alice Patten, Madhavan, Waheeda Rehman, Anupam Kher, Kirron Kher, Om Puri, Steven Mackintosh, Lekh Tandon, Cyrus Sahukar, Mohan Agashe, Asif Ali Baig, Abhishek Banerjee","delhi india, murder, friend, india, awakening, papadum, revolutionary, courage, politics, pilot, death, bombing, sacrifice, demonstration, protest, prisoner, torture, terrorism, candlelight march, holding a gun to one's head, police officer, vow, vigilantism, television camera, tv news, university, wading, flower, hatred, hitting one's head, pen, jet, ledge, neighborhood, siren the alarm, disc jockey, reading, rescue, sledgehammer, crowd, television news announcer, makeup, burned alive, flirting, listening to a radio, kiss, seed, repeated line, television set, air force, soldier, shirt, video camera, man carries a woman, fist, watching tv, pushing, taxi, cell phone, character repeats someone else's dialogue, india gate, protagonists killed, police, burping, hugging, overhead camera shot, cigarette, freedom, boy, college student, fight, british raj, muslim, freedom fighter, college, riding on top of a train, irish, cultural policing, horseback riding, well, jumping into a well, gunshot, gun scope, tear gas cannister, tear gas, walkie talkie, fame, call in radio show, law, confession, folding gate door, kidnapping, hostage, oxygen mask, sunglasses, reputation, black and white to color, color segues into black and white, water boarding, hunger strike, political prisoner, political unrest, bomb, trial, indian freedom movement, inquilab zindabad, rain, bicycle, battle, radio news, wound, hit with a stick, hit on the head, cutting someone's hair, holding one's hand over a burning candle, reflection in picture frame glass, dead father, dead husband, husband wife relationship, woman chases a man, pretending to march like a soldier, giving a toast, bar, watching a movie, bag over head, prayer, gallows, hands tied behind one's back, qur'an, bloody hand, interrogation, crucifix, church, hiding, revolution, terrorist, intermission, foot race, hand kissing, jumping into the air, jumping into a river on a motorcycle, motorcycle chase, religious icon in fire, pointing a gun at someone, british government, disguise, sword, capture, chase, horse, running, paratha, hit on the back of the head, massacre, generation gap, tolerance, asking for forgiveness, lantern, corpse, dead body, atrocity, mass murder, shooting, shot in the back, film set, safe, gunfire, jumping off a train, train emergency brake, british military, train push cart, year 1925, mustache, shaving, wig, looking at oneself in a mirror, mirror, costume fitting, strongman, giant, lifting a man into the air, british imperialism, indian history, water buffalo, religious procession, religious ceremony, golden temple new delhi, knocking on a door, crying, bloody mouth, apology, hit in the face, ends with text, flash camera, son shoots father, indian administrative service, suicide by gunshot, suicide, dying, shot in the stomach, shot in the leg, history repeats itself, shootout, apparition, explosion, shot while trying to surrender, shot in the shoulder, holding hands up in the air, surrender, indian national medal of honour, arms deal, russian, shot in the chest, pajamas, nightmare, airplane explosion, reaching through a gate, head bandage, doctor, coma, hospital, bloody forehead, head injury, bloody face, kicking, throwing a drink into someone's face, tea, beating, covered in blood, blood splatter, blood, skull damage, time lapse photography, dragging someone, arrest, indian military, riot gear, scam, indian government, candle, investigation, doorbell, indian parliament, indian politician, indian politics, microphone, hero, grief, mourning, flight lieutenant, rifle salute, rifle, fire, funeral pyre, folding a flag, cremation, indian flag, fainting, death of fiance, defence ministry of india, airplane crash, bracelet, mural, punched in the gut, kicked in the stomach, lighting a cigarette, slow motion scene, moment of truth, martyr, train robbery, train, conspiracy, kakori india, prejudice, intolerance, religion, fear, street market, beer, fate, destiny, political scandal, palmistry, learning lines, burning someone with a cigarette lighter, giving one's life for one's country, film director, actress, sari, shushing with finger over mouth, india gate new delhi, sexism, computer, sms generation, reference to god, telephone, telephone call, father son relationship, praying hands, pickup truck, promise, sleeping, laughter, pride, snapping fingers, mother slaps her son, face slap, mother son relationship, boyfriend girlfriend relationship, reckless driving, woman hits a man, police corruption, whistle, name calling, pakistani, culture clash, money, dancer, listening to music, portable radio, handshake, falling from height, drinking game, party, bonfire, amphitheatre, spray paint, artist, rapper, rap music, reciting a poem, poem, montage, reference to preity zinta, looking out a window, quitting a job, wolf whistle, institute for international studies new delhi, backpack, taxi driver, whistling, subjective camera, street life, airplane, twenty something, eyewitness, grandfather granddaughter relationship, hindi, reference to gandhi, female filmmaker, london england, drawing, archive footage, newsreel footage, newspaper headline, newspaper, map, photograph, gun, flash forward, flashback, prologue, pocket watch, execution by hanging, hangman's noose, song, singing, singer, pouring water over one's head, british india, jail cell, book, reference to vladimir lenin, friendship, actor, drama filmmaking, new delhi india, dutch angle, life changing decision, gun salute, rebelliousness, following a dream, indifference, social commentary, freeze frame, death of protagonist, worship, voice over narration, sikh, salute, rehearsal, prison, jail, jailer, irony, hanging, fistfight, fighting the system, falling into water, execution, ethnic slur, drunkenness, diary, dhaba, depiction of corrupt society, dancing, coming of age, cigarette smoking, bribe, brawl, audition, anti conformity, anguish, anger, amritsar india, airport, revenge, tradition versus modernity, patriotism, wheelie, religious intolerance, rebellious youth, radio station, police brutality, motorcycle, marriage proposal, documentary filmmaker, defence minister, violence, traditionalism, protest march, political protest, police violence, patricide, local blockbuster, jet fighter pilot, hindu, film within a film, cult film, corruption, assassination, documentary filmmaking, death of friend, delhi university"
My Name Is Khan,7.9,"Drama, Romance","Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane, Kenton Duty, Benny Nieves, Christopher B. Duncan, Jimmy Shergill, Sonya Jehan, Parvin Dabas, Arjun Mathur, Sugandha Garg, Zarina Wahab, S.M. Zaheer, Arif Zakaria, Vinay Pathak, Sumeet Raghavan, Tanay Chheda","barack obama character, asperger's syndrome, racial profiling, autism, airport, cultural diversity, religion, flood, deus ex machina, road trip, prejudice, anti terrorism, anti muslim, based on true story, character name in title, muslim, wedding"
Gangs of Wasseypur,8.2,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia, Jameel Khan, Piyush Mishra, Jaideep Ahlawat, Huma Qureshi, Zeishan Quadri, Vipin Sharma, Satyakam Anand, Aditya Kumar, Rajkummar Rao, Vineet Kumar Singh, Sankalp Acharekar, Aditya, Akshat, Hasrat Ali","revenge, blood, gun, abuse, gangster, violence, india, satire, cigarette, cult film, kidnapping, fight, cigarette smoking, family relationships, train robber, corruption, murder, based on true story"
Chak De! India,8.1,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Arya Menon, Seema Azmi, Nisha Nair, Sandia Furtado, Masochon V. Zimik, Kimi Laldawla, Chitrashi Rawat, Shubhi Mehta, Anaitha Nair, Tanya Abrol, Kimberly Miranda, Nichola Sequeira, Raynia Mascerhanas, Javed Khan Amrohi","team, hockey, coach, brawl, boyfriend girlfriend relationship, exclamation point in title, world championship, training, sexism, scene during end credits, rivalry, petition, local blockbuster, hockey game, game practice, fight, defeat, country name in title, competition, breakup, big game, actor shares last name with character, ego, underdog, triumph, second chance, mcdonald's restaurant, female bonding, false accusation, comeback, chauvinism, airport"
Munna Bhai M.B.B.S.,8.1,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani, Sunil Dutt, Rohini Hattangadi, Kurush Deboo, Jimmy Shergill, Yatin Karyekar, Khurshed Lawyer, Bomie E. Dotiwala, Rohitash Gaud, Priya Bapat, Rita Puri, Surendra Rajan, Mumait Khan, Suresh Chatwal, Atul Srivastava","assumed identity, hazing, love, deception, abduction, drinking, lie, feud, criminal, terminal illness, laughter, sidekick, surgery, examination, hugging, janitor, catatonic man, train station, pickpocket, doctor, hospital, medical school, acronym in title, directorial debut, real life father and son playing father and son, self inflicted injury, mumbai india, mother son relationship, mistaken identity, medical student, fish out of water, father son relationship, compassion, cancer, death of friend, character name in title, laughter club, beating, heartbreak, drunkenness, fainting, muslim, face slap, impersonation, confession, roommate, orderly, whistleblower, parsi, corpse, attempted suicide, scalpel, nurse, kidnapping, extortion, photo album, chinese man, carrom, anger management, forced to strip, forced to dance, turban, laughter therapy, chase, dancer, photograph, man wears eyeglasses, anger, classroom, student, shouting, reference to god, gun, undressing, slow motion scene, cell phone, man slaps a man, dormitory, fake bullet, photo album epilogue, title ends with period, period in title, first part, wheelchair, revolver, questionnaire, nightclub, lecture, juice, friendship, falling from height, balisong"
Bajrangi Bhaijaan,8.1,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor, Sharat Saxena, Alka Badola Kaushal, Om Puri, Meher Vij, Rajesh Sharma, Mir Sarwar, Khushaal Pawar, Krunal Pandit, Manoj Bakshi, Mursaleem Qureshi, Yudhvir Dahiya, Adnan Sami, Sunil Chitkara, Habib Azmi","muscleman, machismo, tough guy, torture, interrogation, pakistan, mosque, muslim, brahmin, little girl, india, devotee, man disguised as a woman, falling off a cliff, lost child, hanuman, affection, journey, marriage proposal, wrestling, cricket the sport, hug, police officer, prayer, sheep, tickling someone's feet, watching tv, mute girl, mother daughter reunion, internet, video, arrest, kashmir, burqa, gender disguise, disguise, journalist, border crossing, tunnel, money, fight, child trafficking, brothel, prostitute, bracelet, embassy, religion, school, monkey, love, loss of father, flashback, bus, selfie, animal rescue, tickling, snoring, sleeping, horse, train, mute child, pregnant woman, mountain, death of father, character name in title, child sex trafficking"
